order_id,deal_or_not
41571,1
64125,1
76131,0
238671,0
93305,1
158994,1
180094,1
47901,0
102132,0
172968,0
270498,0
295725,0
6905,0
68232,0
273284,0
281808,0
328929,0
186141,0
48586,0
117203,0
179630,0
207504,0
165194,0
46742,1
97956,1
133757,1
136534,1
736,0
862,0
1933,0
20883,0
57825,0
63983,0
83071,0
112989,0
125692,0
135610,0
143716,0
153542,0
154925,0
156130,0
164730,0
171599,0
174897,0
177392,0
178659,0
196749,0
199958,0
217855,0
219744,0
227572,0
242552,0
242769,0
255363,0
265318,0
266900,0
269085,0
298399,0
305248,0
324498,0
328062,0
329566,0
331513,0
66321,1
78233,1
121823,1
136898,1
156897,1
177551,1
3133,0
57298,0
136867,0
199971,0
230679,0
230790,0
290205,0
326092,0
338534,0
75343,0
19650,1
54496,1
55144,1
114803,1
177798,1
200659,1
6418,0
38292,0
73225,0
81467,0
188883,0
226989,0
246286,0
262570,0
309525,0
321958,0
85381,1
96487,1
99314,1
2905,0
7212,0
23795,0
25897,0
40120,0
45957,0
78544,0
124050,0
133906,0
210363,0
211504,0
241691,0
243341,0
246818,0
256329,0
262581,0
268950,0
270800,0
306162,0
307137,0
308223,0
36663,0
67226,0
117698,0
118016,0
119088,0
206233,0
214840,0
226301,0
276001,0
297334,0
318878,0
331,1
138971,1
33401,0
49919,0
51197,0
58508,0
63200,0
118321,0
164984,0
192345,0
195368,0
235407,0
275433,0
317553,0
337091,0
132868,1
133207,1
174450,1
176895,1
7072,0
76652,0
80095,0
101134,0
113660,0
123417,0
140315,0
191696,0
228829,0
248361,0
260794,0
294564,0
299038,0
301549,0
304771,0
339408,0
63,1
43617,1
59398,1
140816,1
169649,1
196241,1
7842,0
24725,0
36508,0
38468,0
101555,0
178885,0
206151,0
211094,0
268747,0
276098,0
277639,0
308212,0
224038,0
34719,0
73013,0
102275,0
127731,0
223288,0
239944,0
253651,0
150037,0
14044,1
60680,1
68447,1
86439,1
121537,1
128013,1
132663,1
141704,1
147265,1
155421,1
160445,1
166281,1
7051,0
20460,0
58406,0
66576,0
72335,0
172486,0
190269,0
235285,0
243524,0
259227,0
275987,0
333098,0
23403,0
85901,0
86982,0
147241,0
13874,0
42899,0
133687,0
147695,0
159636,0
253708,0
286834,0
337380,0
67162,0
69286,0
273863,0
316327,0
31649,1
153897,1
201937,1
36,0
3622,0
17476,0
74297,0
89192,0
101417,0
154050,0
220545,0
262607,0
283347,0
304980,0
314445,0
330776,0
339668,0
146728,0
332589,0
22975,0
58137,0
254185,0
30602,0
96875,0
166246,0
244346,0
272218,0
310383,0
9903,1
36789,1
156116,1
193388,1
7036,0
13809,0
41019,0
121015,0
179218,0
222536,0
239213,0
258987,0
275695,0
141784,0
202,1
17386,1
18057,1
21881,1
74755,1
85065,1
112370,1
125077,1
151231,1
4832,0
78893,0
109573,0
138075,0
180301,0
242669,0
245515,0
322516,0
78720,0
215845,0
171511,0
28494,1
52555,1
79821,1
101654,1
201951,1
7680,0
10383,0
21380,0
28537,0
30262,0
35390,0
58489,0
98827,0
103358,0
117348,0
122909,0
127098,0
165887,0
199773,0
226374,0
259309,0
265959,0
335667,0
337474,0
5232,1
8597,1
71901,1
111341,1
158693,1
1108,0
5389,0
23223,0
52418,0
62272,0
70008,0
82711,0
111849,0
140181,0
157075,0
159844,0
162575,0
177988,0
187302,0
188782,0
215807,0
219474,0
226057,0
235478,0
244113,0
258325,0
288285,0
301572,0
323816,0
1377,1
23016,1
92071,1
110631,1
151414,1
10824,0
16233,0
17987,0
25785,0
40261,0
52586,0
62903,0
96951,0
103538,0
107699,0
112907,0
156084,0
172087,0
191269,0
193528,0
233150,0
245811,0
259625,0
261790,0
269444,0
320456,0
327555,0
335048,0
6269,1
62840,1
108627,1
122494,1
136614,1
178167,1
178267,1
200184,1
2466,0
8744,0
8890,0
11647,0
26155,0
42692,0
53890,0
56886,0
76409,0
87779,0
92216,0
96508,0
108352,0
117216,0
130278,0
152083,0
186732,0
198488,0
211553,0
213422,0
222776,0
236788,0
241904,0
285420,0
296068,0
296123,0
305277,0
305857,0
307348,0
310032,0
332876,0
337150,0
47631,0
80755,0
133145,0
226848,0
214214,0
249974,0
125641,0
245864,0
306309,0
42942,0
241909,0
265352,0
16301,1
27443,1
29849,1
53027,1
63214,1
81853,1
151127,1
165838,1
198225,1
199154,1
200503,1
1651,0
33726,0
34322,0
50044,0
124529,0
138326,0
149434,0
176851,0
199172,0
240486,0
249815,0
251930,0
275811,0
281147,0
295519,0
305608,0
312372,0
287193,0
328217,0
17522,1
27317,1
55599,1
77344,1
137763,0
199664,0
251578,0
280485,0
285958,0
849,0
168396,0
208783,0
71781,0
155862,0
160125,0
62974,0
68259,0
72216,0
140044,0
334782,0
8975,1
23528,1
88700,1
196939,1
43648,0
81703,0
101867,0
184080,0
193531,0
274537,0
274587,0
293618,0
307337,0
324344,0
326221,0
327014,0
334664,0
43362,0
50806,0
34421,0
148721,0
208089,0
253390,0
256727,0
86673,0
101006,0
278172,0
2512,1
4945,1
98904,1
102318,1
119298,1
61465,0
77667,0
143685,0
153599,0
213183,0
213749,0
218744,0
270362,0
309869,0
6655,0
14829,0
77077,0
148038,0
159562,0
185047,0
248278,0
304494,0
321342,0
288542,0
10517,1
55460,1
90745,1
103225,1
106249,1
119288,1
132714,1
163311,1
173551,1
198679,1
3604,0
12654,0
24479,0
102898,0
104602,0
136618,0
158870,0
172863,0
190039,0
201102,0
201494,0
241059,0
255979,0
274190,0
284429,0
286393,0
305481,0
308940,0
311542,0
332272,0
22115,1
42117,1
131841,1
176366,1
183646,1
4018,0
18452,0
38812,0
43132,0
45716,0
57388,0
58844,0
65950,0
74678,0
123797,0
125432,0
140151,0
182527,0
250887,0
49169,0
124400,0
187323,0
329511,0
140018,0
5354,0
69925,0
84659,0
95628,0
104332,0
119827,0
269557,0
31799,0
80384,0
154024,0
173875,0
222760,0
230738,0
232342,0
337898,0
181195,1
200194,1
7160,0
16994,0
20090,0
38177,0
40087,0
40383,0
64472,0
71736,0
74805,0
77912,0
102122,0
182659,0
200338,0
236770,0
303521,0
45047,1
100442,1
117262,1
4088,0
66967,0
83701,0
96380,0
106993,0
108144,0
165192,0
168304,0
194378,0
229362,0
230067,0
230166,0
262672,0
273884,0
80717,1
108079,1
167955,1
182440,1
183772,1
185818,1
21699,0
58899,0
115670,0
144782,0
165021,0
199768,0
250105,0
267046,0
270040,0
281880,0
307074,0
110432,1
147278,1
943,0
146124,0
148814,0
206393,0
326538,0
3837,1
108354,1
160600,1
178090,1
29924,0
31880,0
33789,0
56320,0
73446,0
83081,0
106571,0
128052,0
163879,0
165140,0
182644,0
184313,0
184906,0
213270,0
232488,0
259653,0
290251,0
292883,0
325738,0
326129,0
103754,1
106379,1
123701,1
150219,1
27912,0
54781,0
61651,0
103668,0
141031,0
197090,0
225708,0
234322,0
270501,0
281529,0
293010,0
322727,0
336053,0
160998,1
233449,0
246284,0
48947,1
52981,1
63836,1
85012,1
85143,1
105021,1
106432,1
150707,1
177907,1
196781,1
2814,0
42431,0
51290,0
58636,0
58761,0
70056,0
74358,0
116793,0
142190,0
147458,0
190546,0
203005,0
226452,0
280978,0
285588,0
304724,0
306406,0
321870,0
336027,0
225030,0
280671,0
59587,0
182477,0
196834,0
280535,0
117947,0
219648,0
5274,1
56710,1
64647,0
178767,0
321307,0
212312,0
331855,0
130851,0
139723,0
223308,0
296955,0
319046,0
53298,0
66629,0
78850,0
114605,0
218878,0
236703,0
302524,0
10204,1
12674,1
57945,1
62251,1
93859,1
150407,1
156351,1
171163,1
2220,0
3812,0
5817,0
7633,0
31008,0
31449,0
35111,0
47572,0
50884,0
57603,0
74812,0
76779,0
86194,0
98287,0
109638,0
117717,0
130881,0
131283,0
133607,0
133939,0
136411,0
139690,0
149753,0
154357,0
163729,0
163792,0
